Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,594.78,603.53,614.53,639.64,643.88,647.15,663.82,655.35,677.81,684.96,696.15,691.21,690.99,691.18,691.7,693.71,688.25,692.83,701.93,699.38,699.07,702.99,623.89,659.61,676.43,703.34,721.65,675.23,707.17,685.29,679.96,740.25,796.04,833.0,832.03,821.16,851.57,766.6,705.08,656.08,628.29,584.27,557.79,421.87,337.27,450.41,433.68,442.56,430.02,417.77,406.21,387.04,569.14,619.88,637.8,704.42,743.01,774.56,865.93,1073.8,1133.66,1177.28,1225.06,1268.55,1317.65,1370.45
Albania,1556.36,1620.19,1628.82,1691.83,1741.2,1828.64,1851.68,1960.77,2044.38,2124.75,2225.47,2250.18,2323.07,2400.34,2480.47,2568.03,2660.89,2757.46,2853.87,2948.43,3053.55,3117.09,3181.25,3268.27,3314.33,3362.59,3411.12,3460.41,3517.76,3567.12,3621.29,3745.75,3771.88,3747.43,3683.4,3624.64,3745.92,3643.67,3515.85,3774.71,3394.67,2557.3,2453.44,2655.89,2881.65,3176.65,3478.47,3125.23,3523.71,3911.46,4149.74,4403.85,4541.11,4863.89,5222.63,5514.85,5855.03,6256.95,6714.23,6877.43,7021.66,7206.47,7421.95,7683.1,7987.26,8325.25
Algeria,2764.09,2744.02,2805.61,2804.28,2935.43,2961.59,3162.7,3419.63,3477.75,3965.01,4142.3,3820.18,2815.32,3422.63,3565.12,3719.53,3469.27,3696.77,3951.69,4145.75,4386.93,3865.72,4589.81,4597.84,4738.11,4685.85,4840.44,5045.56,5386.55,5642.46,5522.01,5479.73,5666.11,5778.3,5918.58,5949.27,5837.59,5683.33,5467.22,5550.0,5502.64,5327.51,5280.4,5054.72,4897.28,4985.24,5112.26,5084.14,5268.29,5356.31,5392.48,5457.62,5621.34,5928.69,6141.26,6377.81,6395.75,6489.45,6588.1,6589.89,6740.86,6905.4,7079.03,7256.81,7438.29,7624.45
Andorra,34054.29,34557.19,35113.9,35788.42,36484.32,37064.73,37965.18,38344.48,38668.07,38941.75,40014.09,40549.23,41301.6,41689.81,43046.16,43912.2,44715.9,45366.95,46391.53,47358.18,48721.82,48427.17,49727.68,50988.7,51423.51,49624.49,49375.19,49074.7,48155.03,46449.64,45501.93,43312.6,41613.18,40214.98,39117.82,38596.89,38827.05,40221.27,41600.55,42720.21,43056.14,42428.26,40866.82,38610.15,38000.1,38004.32,39241.02,42641.18,44104.46,45763.33,45646.14,49457.75,50339.68,51431.39,52575.13,53860.01,56062.77,55847.66,56997.6,57953.8,58664.02,59618.54,60720.0,61871.51,63063.48,64277.8
Angola,2085.26,2134.99,2185.92,2236.28,2165.58,2293.19,2235.84,2395.18,2479.06,2462.56,2520.05,2776.06,2682.38,2770.86,3003.67,3162.73,3284.83,3411.86,3331.27,3377.33,3521.35,3594.62,3540.39,3712.52,3752.96,3295.11,3083.18,3037.96,2923.04,2889.36,2833.17,2693.82,2654.78,2642.01,2728.38,2713.5,2748.15,2884.57,3008.92,2942.91,2879.6,2867.91,2683.46,1987.53,1993.75,2181.03,2461.56,2558.98,2517.9,2581.76,2550.97,2507.14,2809.07,2806.58,3015.52,3537.88,4107.38,4823.55,5333.29,5223.48,5366.42,5569.47,5741.9,5907.72,6048.54,6122.67
Anguilla,2670.0,2779.99,2898.34,3030.95,3170.36,3304.67,3473.12,3599.17,3724.07,3848.1,4057.05,4218.38,4408.55,4565.88,4837.21,5063.04,5289.98,5506.77,5777.8,6051.8,6388.2,6182.82,6821.26,7049.17,6995.52,7193.55,7270.96,7254.96,7754.98,8465.28,8888.18,9270.54,9258.41,9331.08,9709.78,10584.12,11663.26,12414.59,13477.6,13890.37,16568.3,13131.95,16197.11,16831.5,17634.5,16802.49,16826.28,18197.11,19609.71,19821.87,19468.69,19236.5,18201.67,17882.77,20755.14,21644.83,26310.86,30169.56,29866.79,22000.06,22849.82,23826.56,24898.93,26032.06,27224.81,28471.93
Antigua and Barbuda,2034.32,2111.87,2195.27,2288.94,2387.15,2480.94,2599.69,2686.09,2771.1,2854.94,3001.07,3111.2,3241.86,3347.64,3536.1,3690.26,3844.29,3990.02,4174.03,4359.07,4587.79,4823.46,5069.16,5370.2,5519.22,5247.43,4802.06,5236.02,5358.61,5681.85,6385.4,6615.86,6591.15,7177.82,7927.38,8586.19,9568.94,10203.84,10949.7,11722.41,11948.01,12081.08,12008.52,12414.42,12989.49,12318.64,12818.41,13049.34,13365.39,13761.78,13664.97,13681.86,13902.93,14125.68,14822.88,15169.14,16642.52,17959.38,17862.77,15974.89,15271.57,15573.48,15804.79,16213.69,16692.5,17220.19
Argentina,5653.06,5826.82,5469.03,5617.29,5713.0,5980.96,6024.9,6187.99,6454.57,6085.44,6505.59,6700.99,6609.56,6320.92,6744.86,7237.0,7171.47,7282.58,7505.95,8025.59,8195.22,8403.74,8434.61,8578.89,8910.16,8751.64,8675.0,9097.18,8707.43,9156.86,9201.01,8607.14,8187.99,8386.52,8440.8,7778.84,8215.32,8316.99,8058.44,7566.68,7344.76,8044.41,8778.6,9200.79,9604.31,9270.04,9650.08,10278.64,10555.22,10107.66,9925.76,9436.75,8455.24,9087.32,9767.9,10551.32,11314.31,12133.94,12779.73,12804.6,13572.88,13975.73,14263.99,14559.97,14864.71,15179.1
Armenia,733.58,723.12,773.64,804.68,842.93,926.08,1030.88,1038.25,1125.29,1083.91,1204.64,1275.02,1298.02,1234.29,1441.52,1536.57,1622.06,1704.06,1826.9,1844.72,2027.79,2082.24,2076.67,2303.46,2374.13,2359.91,2493.04,2552.2,2619.2,2579.61,2563.01,2574.77,2642.16,2737.96,2759.87,2768.95,2904.04,2931.39,2995.49,3047.36,2926.8,2583.21,1566.89,1449.7,1550.53,1706.41,1831.59,1901.23,2066.95,2156.81,2350.9,2605.27,2940.74,3305.29,3682.24,4181.0,4700.7,5292.73,5567.41,4902.62,5066.15,5258.5,5461.56,5672.71,5890.0,6115.83
Aruba,2343.28,2457.27,2580.21,2717.57,2862.91,3005.55,3181.35,3320.4,3460.21,3601.04,3823.73,4004.24,4214.69,4396.34,4690.92,4945.06,5203.68,5455.7,5765.16,6081.77,6465.78,6976.27,7528.23,8126.86,8779.15,9491.74,10274.01,11130.82,12057.0,13039.51,14067.52,15119.6,16199.36,17359.33,18685.65,20253.04,22151.91,25910.12,30949.66,34635.56,35426.98,36866.91,37103.84,37601.61,38552.89,37856.83,37093.42,38914.98,40599.0,40278.23,41188.74,40150.61,38437.28,37770.36,39642.36,39302.85,38905.07,38535.45,37174.34,29958.91,31338.79,32912.3,34639.77,36475.43,38419.7,40467.23
